date,regime_label,regime_prob,method
2011-07-07,Normal,5.142103397791857e-10,HMM
2011-07-08,Normal,5.376187255570033e-10,HMM
2011-07-11,Normal,5.490323668776945e-10,HMM
2011-07-12,Normal,5.553138097806484e-10,HMM
2011-07-13,Normal,5.647658418763683e-10,HMM
2011-07-14,Normal,5.600818367834797e-10,HMM
2011-07-15,Normal,7.334236876676292e-10,HMM
2011-07-18,Normal,7.246993244240684e-10,HMM
2011-07-19,Normal,7.276285886359919e-10,HMM
2011-07-20,Normal,7.505484102779029e-10,HMM
2011-07-21,Normal,7.500305739377241e-10,HMM
2011-07-22,Normal,7.609690037050991e-10,HMM
2011-07-25,Normal,1.0367619408009234e-9,HMM
2011-07-26,Normal,1.242218446669882e-9,HMM
2011-07-27,Normal,1.2443584098864177e-9,HMM
2011-07-28,Normal,1.3410022591092451e-9,HMM
2011-07-29,Normal,1.464219290842016e-9,HMM
2011-08-01,Normal,1.4635134221392603e-9,HMM
2011-08-02,Normal,1.5396419108035037e-9,HMM
2011-08-03,Normal,1.640614576684835e-9,HMM
2011-08-04,Normal,1.4312502599776296e-9,HMM
2011-08-05,Normal,1.5682409146951558e-9,HMM
2011-08-08,Normal,1.3695306657549199e-9,HMM
2011-08-09,Normal,1.3499684219398982e-9,HMM
2011-08-10,Normal,1.3449180812446834e-9,HMM
2011-08-11,Normal,1.0707313826395418e-9,HMM
2011-08-12,Normal,1.0668482507594552e-9,HMM
2011-08-15,Normal,1.0644312423931224e-9,HMM
2011-08-16,Normal,1.0523258012253034e-9,HMM
2011-08-17,Normal,1.0286631460212757e-9,HMM
2011-08-18,Normal,9.615928558058567e-10,HMM
2011-08-19,Normal,9.407066510315235e-10,HMM
2011-08-22,Normal,9.529306301251905e-10,HMM
2011-08-23,Normal,9.165906786187379e-10,HMM
2011-08-24,Normal,8.841248567487075e-10,HMM
2011-08-25,Normal,8.836272435896144e-10,HMM
2011-08-26,Normal,8.815593451657038e-10,HMM
2011-08-30,Normal,8.158754092824589e-10,HMM
2011-08-31,Normal,8.114121084127567e-10,HMM
2011-09-01,Normal,8.124626138832484e-10,HMM
2011-09-02,Normal,8.531185711625972e-10,HMM
2011-09-06,Normal,9.048154046917153e-10,HMM
2011-09-07,Normal,8.964473112929875e-10,HMM
2011-09-08,Normal,1.1243205825131701e-9,HMM
2011-09-09,Normal,9.957459370498681e-10,HMM
2011-09-12,Normal,9.885145718695473e-10,HMM
2011-09-13,Normal,1.1419681290575756e-9,HMM
2011-09-14,Normal,1.1232911776715354e-9,HMM
2011-09-15,Normal,1.0067024673196673e-9,HMM
2011-09-16,Normal,1.0024965951289161e-9,HMM
2011-09-19,Normal,9.077997585249672e-10,HMM
2011-09-20,Normal,9.928689203917708e-10,HMM
2011-09-21,Normal,9.972410820093677e-10,HMM
2011-09-22,Normal,7.708721755220268e-10,HMM
2011-09-23,Normal,7.897342795532972e-10,HMM
2011-09-26,Normal,8.009324706371556e-10,HMM
2011-09-27,Normal,7.747285654488908e-10,HMM
2011-09-28,Normal,7.702795218975559e-10,HMM
2011-09-29,Normal,8.61758695455572e-10,HMM
2011-09-30,Normal,8.62349415442361e-10,HMM
2011-10-03,Normal,8.485084314178512e-10,HMM
2011-10-04,Normal,8.348892565162262e-10,HMM
2011-10-05,Normal,8.082019399567901e-10,HMM
2011-10-06,Normal,9.962033925111155e-10,HMM
2011-10-07,Normal,9.233888455512167e-10,HMM
2011-10-10,Normal,8.649142148438392e-10,HMM
2011-10-11,Normal,8.649841906843775e-10,HMM
2011-10-12,Normal,7.699424157687195e-10,HMM
2011-10-13,Normal,7.7653766318647e-10,HMM
2011-10-14,Normal,8.532563938807183e-10,HMM
2011-10-17,Normal,8.404469172670499e-10,HMM
2011-10-18,Normal,9.249015642161971e-10,HMM
2011-10-19,Normal,9.473405117268133e-10,HMM
2011-10-20,Normal,8.845131536527583e-10,HMM
2011-10-21,Normal,1.0491293436966977e-9,HMM
2011-10-24,Normal,1.0494194238153228e-9,HMM
2011-10-25,Normal,1.0730706107059051e-9,HMM
2011-10-26,Normal,1.0634782585264969e-9,HMM
2011-10-27,Normal,1.0381615337241556e-9,HMM
2011-10-28,Normal,9.95402986024484e-10,HMM
2011-10-31,Normal,1.000250068233514e-9,HMM
2011-11-01,Normal,1.01669101787612e-9,HMM
2011-11-02,Normal,9.295137058190518e-10,HMM
2011-11-03,Normal,9.553938188471855e-10,HMM
2011-11-04,Normal,9.44505575924352e-10,HMM
2011-11-07,Normal,9.372573273549312e-10,HMM
2011-11-08,Normal,1.0091456917168361e-9,HMM
2011-11-09,Normal,1.008721872146178e-9,HMM
2011-11-10,Normal,1.06686557764048e-9,HMM
2011-11-11,Normal,1.055430821557743e-9,HMM
2011-11-14,Normal,1.0559328968179032e-9,HMM
2011-11-15,Normal,1.0714860112441814e-9,HMM
2011-11-16,Normal,1.079086769208317e-9,HMM
2011-11-17,Normal,1.0054749143982018e-9,HMM
2011-11-18,Normal,1.0627939933002891e-9,HMM
2011-11-21,Normal,1.1191440291045028e-9,HMM
2011-11-22,Normal,1.0685573827262653e-9,HMM
2011-11-23,Normal,1.0666769933799705e-9,HMM
2011-11-25,Normal,1.0871623828768862e-9,HMM
2011-11-28,Normal,9.955108425743122e-10,HMM
2011-11-29,Normal,1.0163326068035104e-9,HMM
2011-11-30,Normal,1.048044103740686e-9,HMM
2011-12-01,Normal,1.0078379498180456e-9,HMM
2011-12-02,Normal,1.18690188068611e-9,HMM
2011-12-05,Normal,1.181759644965029e-9,HMM
2011-12-06,Normal,1.2120414274762883e-9,HMM
2011-12-07,Normal,1.3114059173823176e-9,HMM
2011-12-08,Normal,1.2924937459231143e-9,HMM
2011-12-09,Normal,1.29250624661577e-9,HMM
2011-12-12,Normal,1.3301113626399764e-9,HMM
2011-12-13,Normal,1.3124494820184205e-9,HMM
2011-12-14,Normal,1.1916978121569912e-9,HMM
2011-12-15,Normal,1.181874005806074e-9,HMM
2011-12-16,Normal,1.183189793033633e-9,HMM
2011-12-19,Normal,1.24645692321912e-9,HMM
2011-12-20,Normal,1.1067938410352513e-9,HMM
2011-12-21,Normal,1.153576750178828e-9,HMM
2011-12-22,Normal,1.1835777708413361e-9,HMM
2011-12-23,Normal,1.1980613625463431e-9,HMM
2011-12-28,Normal,1.162611375810416e-9,HMM
2011-12-29,Normal,1.323151402871372e-9,HMM
2011-12-30,Normal,1.3571448894264536e-9,HMM
2012-01-03,Normal,1.210851963519e-9,HMM
2012-01-04,Normal,1.2343023395228322e-9,HMM
2012-01-05,Normal,1.2386384216822262e-9,HMM
2012-01-06,Normal,1.2002841598202709e-9,HMM
2012-01-09,Normal,1.1882938159873097e-9,HMM
2012-01-10,Normal,1.1318756316778614e-9,HMM
2012-01-11,Normal,1.143609621910486e-9,HMM
2012-01-12,Normal,1.1326883816031734e-9,HMM
2012-01-13,Normal,1.0141878674744747e-9,HMM
2012-01-17,Normal,1.0310638365875771e-9,HMM
2012-01-18,Normal,1.188471649003152e-9,HMM
2012-01-19,Normal,1.214774488051786e-9,HMM
2012-01-20,Normal,1.2006721254561554e-9,HMM
2012-01-23,Normal,1.1950362125595418e-9,HMM
2012-01-24,Normal,1.3275631416911435e-9,HMM
2012-01-25,Normal,1.3279345864882923e-9,HMM
2012-01-26,Normal,1.3373607219325734e-9,HMM
2012-01-27,Normal,1.308705394210994e-9,HMM
2012-01-30,Normal,1.3601706984377642e-9,HMM
2012-01-31,Normal,1.3706799419622925e-9,HMM
2012-02-01,Normal,1.3517906531794415e-9,HMM
2012-02-02,Normal,1.482662269042705e-9,HMM
2012-02-03,Normal,1.528078161350633e-9,HMM
2012-02-06,Normal,1.3896156757365422e-9,HMM
2012-02-07,Normal,1.4178235064920074e-9,HMM
2012-02-08,Normal,1.439848986417232e-9,HMM
2012-02-09,Normal,1.4931474388970365e-9,HMM
2012-02-10,Normal,1.5531313411766598e-9,HMM
2012-02-13,Normal,1.571367949583483e-9,HMM
2012-02-14,Normal,1.804741647403307e-9,HMM
2012-02-15,Normal,1.7593362121203064e-9,HMM
2012-02-16,Normal,1.7938874268116634e-9,HMM
2012-02-17,Normal,1.7934494807910794e-9,HMM
2012-02-21,Normal,1.852837896134136e-9,HMM
2012-02-22,Normal,1.805020723749166e-9,HMM
2012-02-23,Normal,1.874430709612297e-9,HMM
2012-02-24,Normal,1.880529015912627e-9,HMM
2012-02-27,Normal,1.870955233266053e-9,HMM
2012-02-28,Normal,1.6922846326184067e-9,HMM
2012-02-29,Normal,1.6075091069336844e-9,HMM
2012-03-01,Normal,1.489296956882868e-9,HMM
2012-03-02,Normal,1.5040093181979204e-9,HMM
2012-03-05,Normal,1.5551937516916156e-9,HMM
2012-03-06,Normal,1.492340787921303e-9,HMM
2012-03-07,Normal,1.5968338661732516e-9,HMM
2012-03-08,Normal,1.5469490110783843e-9,HMM
2012-03-09,Normal,1.5448469753544708e-9,HMM
2012-03-12,Normal,1.5304518824740152e-9,HMM
2012-03-13,Normal,1.5365243364539006e-9,HMM
2012-03-14,Normal,1.5007757048278847e-9,HMM
2012-03-15,Normal,1.3357739389720014e-9,HMM
2012-03-16,Normal,1.35725411498362e-9,HMM
2012-03-19,Normal,1.3585604925740393e-9,HMM
2012-03-20,Normal,1.3313944000860024e-9,HMM
2012-03-21,Normal,1.3260629012764182e-9,HMM
2012-03-22,Normal,1.3594512781464518e-9,HMM
2012-03-23,Normal,1.2941204459832438e-9,HMM
2012-03-26,Normal,1.2912443262238068e-9,HMM
2012-03-27,Normal,1.3155971142829675e-9,HMM
2012-03-28,Normal,1.3776037679207508e-9,HMM
2012-03-29,Normal,1.4018397170692718e-9,HMM
2012-03-30,Normal,1.5873643748236194e-9,HMM
2012-04-02,Normal,1.5688810717251293e-9,HMM
2012-04-04,Normal,1.5548103801416805e-9,HMM
2012-04-05,Normal,1.5829973984078459e-9,HMM
2012-04-10,Normal,1.5473757509526236e-9,HMM
2012-04-11,Normal,1.6484274056040122e-9,HMM
2012-04-12,Normal,1.6476342242169025e-9,HMM
2012-04-13,Normal,1.6486644222332913e-9,HMM
2012-04-16,Normal,1.6037497677089932e-9,HMM
2012-04-17,Normal,1.608207601228486e-9,HMM
2012-04-18,Normal,1.6806567192342728e-9,HMM
2012-04-19,Normal,1.6453145500687772e-9,HMM
2012-04-20,Normal,1.6250653766949744e-9,HMM
2012-04-23,Normal,1.6205713098401448e-9,HMM
2012-04-24,Normal,1.586033095970053e-9,HMM
2012-04-25,Normal,1.6064180223757117e-9,HMM
2012-04-26,Normal,1.6732134336242524e-9,HMM
2012-04-27,Normal,1.686802436798357e-9,HMM
2012-04-30,Normal,1.6859882458732804e-9,HMM
2012-05-01,Normal,1.6658726859283248e-9,HMM
2012-05-02,Normal,1.6247779748741728e-9,HMM
2012-05-03,Normal,1.5956771509544179e-9,HMM
2012-05-04,Normal,1.3939785770750408e-9,HMM
2012-05-08,Normal,1.3955777314167874e-9,HMM
2012-05-09,Normal,1.351636348720606e-9,HMM
2012-05-10,Normal,1.3583600072399716e-9,HMM
2012-05-11,Normal,1.3663346464939966e-9,HMM
2012-05-14,Normal,1.3447434719171515e-9,HMM
2012-05-15,Normal,1.3317271580024391e-9,HMM
2012-05-16,Normal,1.3597973478336892e-9,HMM
2012-05-17,Normal,1.3620239196020125e-9,HMM
2012-05-18,Normal,1.397053790307127e-9,HMM
2012-05-21,Normal,1.4394458475906069e-9,HMM
2012-05-22,Normal,1.4511017023622347e-9,HMM
2012-05-23,Normal,1.3625670528466028e-9,HMM
2012-05-24,Normal,1.3879804851672623e-9,HMM
2012-05-25,Normal,1.3676069906110412e-9,HMM
2012-05-29,Normal,1.4516873876354529e-9,HMM
2012-05-30,Normal,1.2960595928326566e-9,HMM
2012-05-31,Normal,1.2887348454471825e-9,HMM
2012-06-01,Normal,1.0393942112580964e-9,HMM
2012-06-04,Normal,1.0479852317661742e-9,HMM
2012-06-05,Normal,1.012219409811567e-9,HMM
2012-06-06,Normal,1.0070057206148117e-9,HMM
2012-06-07,Normal,1.0066702678916713e-9,HMM
2012-06-08,Normal,1.001274882128723e-9,HMM
2012-06-11,Normal,9.764528984944973e-10,HMM
2012-06-12,Normal,9.622883475208474e-10,HMM
2012-06-13,Normal,9.480734858002819e-10,HMM
2012-06-14,Normal,9.648080406261967e-10,HMM
2012-06-15,Normal,9.518153463997645e-10,HMM
2012-06-18,Normal,9.293310720115703e-10,HMM
2012-06-19,Normal,9.295557935187559e-10,HMM
2012-06-20,Normal,9.45226605685786e-10,HMM
2012-06-21,Normal,8.151326131273855e-10,HMM
2012-06-22,Normal,8.37480431231186e-10,HMM
2012-06-25,Normal,8.510129336956994e-10,HMM
2012-06-26,Normal,8.060869855202641e-10,HMM
2012-06-27,Normal,7.311484707074333e-10,HMM
2012-06-28,Normal,8.023518723616711e-10,HMM
2012-06-29,Normal,6.621748694669023e-10,HMM
2012-07-02,Normal,8.510450294758276e-10,HMM
2012-07-03,Normal,6.430538114652485e-10,HMM
2012-07-05,Normal,6.303187089356093e-10,HMM
2012-07-06,Normal,6.085818461956588e-10,HMM
2012-07-09,Normal,5.999589652742777e-10,HMM
2012-07-10,Normal,6.42752643373199e-10,HMM
2012-07-11,Normal,6.502680117598312e-10,HMM
2012-07-12,Normal,6.872654757297004e-10,HMM
2012-07-13,Normal,6.369675053007252e-10,HMM
2012-07-16,Normal,6.466845968569198e-10,HMM
2012-07-17,Normal,6.244642625997536e-10,HMM
2012-07-18,Normal,6.58867740364604e-10,HMM
2012-07-19,Normal,6.509442184461448e-10,HMM
2012-07-20,Normal,6.805076418732356e-10,HMM
2012-07-23,Normal,8.203151076315513e-10,HMM
2012-07-24,Normal,8.142748837031093e-10,HMM
2012-07-25,Normal,7.954604633004588e-10,HMM
2012-07-26,Normal,7.782032028731504e-10,HMM
2012-07-27,Normal,7.907258562539797e-10,HMM
2012-07-30,Normal,8.232475787064378e-10,HMM
2012-07-31,Normal,8.903761762746609e-10,HMM
2012-08-01,Normal,8.939742396110392e-10,HMM
2012-08-02,Normal,1.1468283627350197e-9,HMM
2012-08-03,Normal,1.1371400475506027e-9,HMM
2012-08-06,Normal,1.3390823298166516e-9,HMM
2012-08-07,Normal,1.3062460242843975e-9,HMM
2012-08-08,Normal,1.3410262191884144e-9,HMM
2012-08-09,Normal,1.3411870037877362e-9,HMM
2012-08-10,Normal,1.3318849553407813e-9,HMM
2012-08-13,Normal,1.415629831809258e-9,HMM
2012-08-14,Normal,1.3958207097759146e-9,HMM
2012-08-15,Normal,1.428371403962439e-9,HMM
2012-08-16,Normal,1.4569159979324579e-9,HMM
2012-08-17,Normal,1.4679808274565326e-9,HMM
2012-08-20,Normal,1.4941687211663134e-9,HMM
2012-08-21,Normal,1.7720594314093114e-9,HMM
2012-08-22,Normal,1.776903955546665e-9,HMM
2012-08-23,Normal,1.8501929144400912e-9,HMM
2012-08-24,Normal,1.8248027484751118e-9,HMM
2012-08-27,Normal,1.7232844565501786e-9,HMM
2012-08-28,Normal,1.678966392580409e-9,HMM
2012-08-29,Normal,1.6949109933783797e-9,HMM
2012-08-30,Normal,1.6960721019195576e-9,HMM
2012-08-31,Normal,1.6631223728212955e-9,HMM
2012-09-04,Normal,1.7216068374607776e-9,HMM
2012-09-05,Normal,1.6517020455484986e-9,HMM
2012-09-06,Normal,1.7410527889466154e-9,HMM
2012-09-07,Normal,1.7437697393588243e-9,HMM
2012-09-10,Normal,1.7431963955737613e-9,HMM
2012-09-11,Normal,1.7273835112054021e-9,HMM
2012-09-12,Normal,1.7642579707679643e-9,HMM
2012-09-13,Normal,1.7482936117794751e-9,HMM
2012-09-14,Normal,1.758118657028121e-9,HMM
2012-09-17,Normal,1.7496625926124941e-9,HMM
2012-09-18,Normal,1.5493569677026591e-9,HMM
2012-09-19,Normal,1.227963931897551e-9,HMM
2012-09-20,Normal,1.2158375997215529e-9,HMM
2012-09-21,Normal,1.1563387020053676e-9,HMM
2012-09-24,Normal,1.1616399082830987e-9,HMM
2012-09-25,Normal,1.1380035182225445e-9,HMM
2012-09-26,Normal,1.1442710927494507e-9,HMM
2012-09-27,Normal,1.0724742548358896e-9,HMM
2012-09-28,Normal,1.0724729847849952e-9,HMM
2012-10-01,Normal,1.0561153788379673e-9,HMM
2012-10-02,Normal,1.087079740004968e-9,HMM
2012-10-03,Normal,1.0037926521630365e-9,HMM
2012-10-04,Normal,1.0054346427307057e-9,HMM
2012-10-05,Normal,9.879675559784866e-10,HMM
2012-10-08,Normal,9.916843313913133e-10,HMM
2012-10-09,Normal,9.62665781465772e-10,HMM
2012-10-10,Normal,9.432722227834886e-10,HMM
2012-10-11,Normal,9.433280293833273e-10,HMM
2012-10-12,Normal,9.449602907750503e-10,HMM
2012-10-15,Normal,9.665851730694214e-10,HMM
