ticker,fold,test_start,test_end,oos_accuracy,oos_precision,oos_recall,n_test
TSM,17,2017-12-01T00:00:00.000,2018-03-01T00:00:00.000,0.31666666666666665,0.5384615384615384,0.32558139534883723,60
TSM,18,2018-03-01T00:00:00.000,2018-06-01T00:00:00.000,0.38095238095238093,0.22,1.0,63
TSM,19,2018-06-01T00:00:00.000,2018-09-01T00:00:00.000,0.2923076923076923,1.0,0.17857142857142858,65
TSM,20,2018-09-01T00:00:00.000,2018-12-01T00:00:00.000,0.15873015873015872,0.07407407407407407,0.5714285714285714,63
TSM,21,2018-12-01T00:00:00.000,2019-03-01T00:00:00.000,0.40350877192982454,0.875,0.30434782608695654,57
TSM,22,2019-03-01T00:00:00.000,2019-06-01T00:00:00.000,0.296875,0.4146341463414634,0.4473684210526316,64
TSM,23,2019-06-01T00:00:00.000,2019-09-01T00:00:00.000,0.46875,0.9444444444444444,0.34,64
TSM,24,2019-09-01T00:00:00.000,2019-12-01T00:00:00.000,0.5238095238095238,1.0,0.5161290322580645,63
TSM,25,2019-12-01T00:00:00.000,2020-03-01T00:00:00.000,0.5081967213114754,0.3157894736842105,0.75,61
TSM,26,2020-03-01T00:00:00.000,2020-06-01T00:00:00.000,0.7419354838709677,0.7288135593220338,1.0,62
TSM,27,2020-06-01T00:00:00.000,2020-09-01T00:00:00.000,0.7846153846153846,0.8225806451612904,0.9444444444444444,65
TSM,28,2020-09-01T00:00:00.000,2020-12-01T00:00:00.000,0.828125,0.9636363636363636,0.8548387096774194,64
TSM,29,2020-12-01T00:00:00.000,2021-03-01T00:00:00.000,0.6065573770491803,0.7916666666666666,0.5,61
TSM,30,2021-03-01T00:00:00.000,2021-06-01T00:00:00.000,0.5396825396825397,1.0,0.2564102564102564,63
TSM,31,2021-06-01T00:00:00.000,2021-09-01T00:00:00.000,0.5692307692307692,0.5909090909090909,0.7222222222222222,65
TSM,32,2021-09-01T00:00:00.000,2021-12-01T00:00:00.000,0.640625,0.6666666666666666,0.85,64
TSM,33,2021-12-01T00:00:00.000,2022-03-01T00:00:00.000,0.48333333333333334,0.40425531914893614,0.8636363636363636,60
TSM,34,2022-03-01T00:00:00.000,2022-06-01T00:00:00.000,0.6984126984126984,0.3,0.5454545454545454,63
TSM,35,2022-06-01T00:00:00.000,2022-09-01T00:00:00.000,0.4444444444444444,0.22727272727272727,0.21739130434782608,63
TSM,36,2022-09-01T00:00:00.000,2022-12-01T00:00:00.000,0.47619047619047616,0.16666666666666666,0.08,63
TSM,37,2022-12-01T00:00:00.000,2023-03-01T00:00:00.000,0.5333333333333333,0.7,0.3888888888888889,60
TSM,38,2023-03-01T00:00:00.000,2023-06-01T00:00:00.000,0.6612903225806451,0.6595744680851063,0.8611111111111112,62
TSM,39,2023-06-01T00:00:00.000,2023-09-01T00:00:00.000,0.40625,0.12195121951219512,0.7142857142857143,64
TSM,40,2023-09-01T00:00:00.000,2023-12-01T00:00:00.000,0.484375,0.8181818181818182,0.5,64
TSM,41,2023-12-01T00:00:00.000,2024-03-01T00:00:00.000,0.3770491803278688,0.9583333333333334,0.38333333333333336,61
TSM,42,2024-03-01T00:00:00.000,2024-06-01T00:00:00.000,0.7096774193548387,0.7924528301886793,0.8571428571428571,62
TSM,43,2024-06-01T00:00:00.000,2024-09-01T00:00:00.000,0.41935483870967744,0.4864864864864865,0.5142857142857142,62
AMD,0,2013-09-01T00:00:00.000,2013-12-01T00:00:00.000,0.5714285714285714,0.6578947368421053,0.6410256410256411,63
AMD,1,2013-12-01T00:00:00.000,2014-03-01T00:00:00.000,0.6721311475409836,0.7142857142857143,0.8536585365853658,61
AMD,2,2014-03-01T00:00:00.000,2014-06-01T00:00:00.000,0.3492063492063492,0.45454545454545453,0.39473684210526316,63
AMD,3,2014-06-01T00:00:00.000,2014-09-01T00:00:00.000,0.40625,0.358974358974359,0.5185185185185185,64
AMD,4,2014-09-01T00:00:00.000,2014-12-01T00:00:00.000,0.5,0.20512820512820512,0.8888888888888888,64
AMD,5,2014-12-01T00:00:00.000,2015-03-01T00:00:00.000,0.4262295081967213,0.2222222222222222,0.06666666666666667,61
AMD,6,2015-03-01T00:00:00.000,2015-06-01T00:00:00.000,0.515625,0.21428571428571427,0.4,64
AMD,7,2015-06-01T00:00:00.000,2015-09-01T00:00:00.000,0.5846153846153846,0.37037037037037035,0.5,65
AMD,8,2015-09-01T00:00:00.000,2015-12-01T00:00:00.000,0.765625,0.9245283018867925,0.8166666666666667,64
AMD,9,2015-12-01T00:00:00.000,2016-03-01T00:00:00.000,0.41935483870967744,0.37142857142857144,0.48148148148148145,62
AMD,10,2016-03-01T00:00:00.000,2016-06-01T00:00:00.000,0.676923076923077,1.0,0.6557377049180327,65
AMD,11,2016-06-01T00:00:00.000,2016-09-01T00:00:00.000,0.6212121212121212,0.6964285714285714,0.8297872340425532,66
AMD,12,2016-09-01T00:00:00.000,2016-12-01T00:00:00.000,0.78125,0.8771929824561403,0.8771929824561403,64
AMD,13,2016-12-01T00:00:00.000,2017-03-01T00:00:00.000,0.65,0.775,0.7209302325581395,60
AMD,14,2017-03-01T00:00:00.000,2017-06-01T00:00:00.000,0.4,0.40625,0.9629629629629629,65
AMD,15,2017-06-01T00:00:00.000,2017-09-01T00:00:00.000,0.6060606060606061,0.5961538461538461,0.8611111111111112,66
AMD,16,2017-09-01T00:00:00.000,2017-12-01T00:00:00.000,0.265625,0.20408163265306123,0.5555555555555556,64
AMD,17,2017-12-01T00:00:00.000,2018-03-01T00:00:00.000,0.36666666666666664,0.3783783783783784,0.4827586206896552,60
AMD,18,2018-03-01T00:00:00.000,2018-06-01T00:00:00.000,0.42857142857142855,0.6363636363636364,0.4666666666666667,63
AMD,19,2018-06-01T00:00:00.000,2018-09-01T00:00:00.000,0.6923076923076923,0.9375,0.7258064516129032,65
AMD,20,2018-09-01T00:00:00.000,2018-12-01T00:00:00.000,0.30158730158730157,0.2,1.0,63
AMD,21,2018-12-01T00:00:00.000,2019-03-01T00:00:00.000,0.24561403508771928,0.6,0.13333333333333333,57
AMD,22,2019-03-01T00:00:00.000,2019-06-01T00:00:00.000,0.53125,0.7692307692307693,0.5882352941176471,64
AMD,23,2019-06-01T00:00:00.000,2019-09-01T00:00:00.000,0.546875,0.5217391304347826,0.4,64
AMD,24,2019-09-01T00:00:00.000,2019-12-01T00:00:00.000,0.2222222222222222,0.6363636363636364,0.1346153846153846,63
AMD,25,2019-12-01T00:00:00.000,2020-03-01T00:00:00.000,0.7377049180327869,0.775,0.8157894736842105,61
AMD,26,2020-03-01T00:00:00.000,2020-06-01T00:00:00.000,0.6451612903225806,0.631578947368421,0.972972972972973,62
AMD,27,2020-06-01T00:00:00.000,2020-09-01T00:00:00.000,0.6615384615384615,0.65625,1.0,65
AMD,28,2020-09-01T00:00:00.000,2020-12-01T00:00:00.000,0.640625,0.7068965517241379,0.8723404255319149,64
AMD,29,2020-12-01T00:00:00.000,2021-03-01T00:00:00.000,0.36065573770491804,0.2,0.75,61
AMD,30,2021-03-01T00:00:00.000,2021-06-01T00:00:00.000,0.6190476190476191,0.6140350877192983,0.9459459459459459,63
AMD,31,2021-06-01T00:00:00.000,2021-09-01T00:00:00.000,0.5692307692307692,0.6607142857142857,0.8043478260869565,65
AMD,32,2021-09-01T00:00:00.000,2021-12-01T00:00:00.000,0.671875,0.6666666666666666,1.0,64
AMD,33,2021-12-01T00:00:00.000,2022-03-01T00:00:00.000,0.55,0.3142857142857143,0.7857142857142857,60
AMD,34,2022-03-01T00:00:00.000,2022-06-01T00:00:00.000,0.6190476190476191,0.2222222222222222,0.10526315789473684,63
AMD,35,2022-06-01T00:00:00.000,2022-09-01T00:00:00.000,0.5555555555555556,0.4444444444444444,0.14814814814814814,63
AMD,36,2022-09-01T00:00:00.000,2022-12-01T00:00:00.000,0.6349206349206349,1.0,0.08,63
AMD,37,2022-12-01T00:00:00.000,2023-03-01T00:00:00.000,0.25,0.5714285714285714,0.1702127659574468,60
AMD,38,2023-03-01T00:00:00.000,2023-06-01T00:00:00.000,0.5,0.6190476190476191,0.6341463414634146,62
AMD,39,2023-06-01T00:00:00.000,2023-09-01T00:00:00.000,0.1875,0.10714285714285714,0.75,64
AMD,40,2023-09-01T00:00:00.000,2023-12-01T00:00:00.000,0.5,0.875,0.5,64
AMD,41,2023-12-01T00:00:00.000,2024-03-01T00:00:00.000,0.7868852459016393,0.8571428571428571,0.9056603773584906,61
AMD,42,2024-03-01T00:00:00.000,2024-06-01T00:00:00.000,0.3548387096774194,0.3018867924528302,0.8421052631578947,62
AMD,43,2024-06-01T00:00:00.000,2024-09-01T00:00:00.000,0.5806451612903226,0.6122448979591837,0.8108108108108109,62
BNO,0,2013-09-01T00:00:00.000,2013-12-01T00:00:00.000,0.5714285714285714,0.5849056603773585,0.8611111111111112,63
BNO,1,2013-12-01T00:00:00.000,2014-03-01T00:00:00.000,0.5081967213114754,0.3870967741935484,0.5217391304347826,61
BNO,2,2014-03-01T00:00:00.000,2014-06-01T00:00:00.000,0.42857142857142855,0.9166666666666666,0.39285714285714285,63
BNO,3,2014-06-01T00:00:00.000,2014-09-01T00:00:00.000,0.375,0.1111111111111111,1.0,64
BNO,4,2014-09-01T00:00:00.000,2014-12-01T00:00:00.000,0.125,0.0,0.0,64
BNO,5,2014-12-01T00:00:00.000,2015-03-01T00:00:00.000,0.4426229508196721,0.40384615384615385,0.875,61
BNO,6,2015-03-01T00:00:00.000,2015-06-01T00:00:00.000,0.640625,0.7058823529411765,0.4,64
BNO,7,2015-06-01T00:00:00.000,2015-09-01T00:00:00.000,0.5384615384615384,0.25,1.0,65
BNO,8,2015-09-01T00:00:00.000,2015-12-01T00:00:00.000,0.265625,0.14285714285714285,0.5833333333333334,64
BNO,9,2015-12-01T00:00:00.000,2016-03-01T00:00:00.000,0.6612903225806451,0.6578947368421053,0.7575757575757576,62
BNO,10,2016-03-01T00:00:00.000,2016-06-01T00:00:00.000,0.2923076923076923,0.7647058823529411,0.23636363636363636,65
BNO,11,2016-06-01T00:00:00.000,2016-09-01T00:00:00.000,0.6363636363636364,0.5,0.5416666666666666,66
BNO,12,2016-09-01T00:00:00.000,2016-12-01T00:00:00.000,0.515625,1.0,0.27906976744186046,64
BNO,13,2016-12-01T00:00:00.000,2017-03-01T00:00:00.000,0.6,0.36363636363636365,0.19047619047619047,60
BNO,14,2017-03-01T00:00:00.000,2017-06-01T00:00:00.000,0.6461538461538462,0.0,0.0,65
