date,series_id,value
2011-10-05,OIL_BRENT,103.77
2011-10-06,OIL_BRENT,104.38
2011-10-07,OIL_BRENT,106.56
2011-10-10,OIL_BRENT,109.49
2011-10-11,OIL_BRENT,109.22
2011-10-12,OIL_BRENT,112.44
2011-10-13,OIL_BRENT,112.45
2011-10-14,OIL_BRENT,114.33
2011-10-17,OIL_BRENT,112.92
2011-10-18,OIL_BRENT,112.08
2011-10-19,OIL_BRENT,111.76
2011-10-20,OIL_BRENT,109.0
2011-10-21,OIL_BRENT,111.6
2011-10-24,OIL_BRENT,111.67
2011-10-25,OIL_BRENT,112.11
2011-10-26,OIL_BRENT,110.43
2011-10-27,OIL_BRENT,112.45
2011-10-28,OIL_BRENT,110.01
2011-10-31,OIL_BRENT,108.43
2011-11-01,OIL_BRENT,106.97
2011-11-02,OIL_BRENT,110.82
2011-11-03,OIL_BRENT,110.76
2011-11-04,OIL_BRENT,112.22
2011-11-07,OIL_BRENT,114.75
2011-11-08,OIL_BRENT,115.61
2011-11-09,OIL_BRENT,115.29
2011-11-10,OIL_BRENT,113.32
2011-11-11,OIL_BRENT,114.43
2011-11-14,OIL_BRENT,112.57
2011-11-15,OIL_BRENT,111.9
2011-11-16,OIL_BRENT,111.91
2011-11-17,OIL_BRENT,109.25
2011-11-18,OIL_BRENT,107.82
2011-11-21,OIL_BRENT,105.98
2011-11-22,OIL_BRENT,107.77
2011-11-23,OIL_BRENT,106.83
2011-11-25,OIL_BRENT,106.08
2011-11-28,OIL_BRENT,109.38
2011-11-29,OIL_BRENT,111.25
2011-11-30,OIL_BRENT,111.22
2011-12-01,OIL_BRENT,108.83
2011-12-02,OIL_BRENT,109.59
2011-12-05,OIL_BRENT,110.18
2011-12-06,OIL_BRENT,110.16
2011-12-07,OIL_BRENT,110.07
2011-12-08,OIL_BRENT,108.23
2011-12-09,OIL_BRENT,107.91
2011-12-12,OIL_BRENT,107.82
2011-12-13,OIL_BRENT,109.25
2011-12-14,OIL_BRENT,105.72
2011-12-15,OIL_BRENT,104.52
2011-12-16,OIL_BRENT,104.0
2011-12-19,OIL_BRENT,104.55
2011-12-20,OIL_BRENT,107.8
2011-12-21,OIL_BRENT,108.0
2011-12-22,OIL_BRENT,108.98
2011-12-23,OIL_BRENT,109.28
2011-12-28,OIL_BRENT,107.54
2011-12-29,OIL_BRENT,106.89
2011-12-30,OIL_BRENT,108.09
2012-01-03,OIL_BRENT,111.12
2012-01-04,OIL_BRENT,113.37
2012-01-05,OIL_BRENT,113.59
2012-01-06,OIL_BRENT,111.96
2012-01-09,OIL_BRENT,111.07
2012-01-10,OIL_BRENT,113.3
2012-01-11,OIL_BRENT,111.66
2012-01-12,OIL_BRENT,112.97
2012-01-13,OIL_BRENT,109.88
2012-01-17,OIL_BRENT,110.55
2012-01-18,OIL_BRENT,109.81
2012-01-19,OIL_BRENT,109.54
2012-01-20,OIL_BRENT,108.5
2012-01-23,OIL_BRENT,109.46
2012-01-24,OIL_BRENT,108.38
2012-01-25,OIL_BRENT,108.48
2012-01-26,OIL_BRENT,109.08
2012-01-27,OIL_BRENT,110.5
2012-01-30,OIL_BRENT,110.24
2012-01-31,OIL_BRENT,110.26
2012-02-01,OIL_BRENT,111.96
2012-02-02,OIL_BRENT,110.96
2012-02-03,OIL_BRENT,112.56
2012-02-06,OIL_BRENT,115.47
2012-02-07,OIL_BRENT,116.86
